playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penaltyminutesdrawn
8479458,2023,Nikita Zaitsev,CHI,D,38,605.37,785,31,90,7,2,5,3,2,2,0,2,0,0,0,70,69,10,16,0,0,7,14,2,4
8483619,2023,Filip Roos,CHI,D,4,58.92,80,2,7,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0,0,0,0
8478028,2023,Fredrik Olofsson,COL,L,57,556.2,834,45,69,9,3,6,4,2,0,0,0,0,0,0,29,45,17,4,159,242,4,8,6,12
8470610,2023,Zach Parise,COL,L,30,389.02,568,50,78,10,5,5,2,3,2,0,2,0,0,0,25,20,11,4,13,30,4,8,2,4
8477425,2023,Miles Wood,COL,L,74,1012.63,1456,167,282,26,9,17,14,3,0,0,0,1,1,0,35,107,41,15,13,28,26,55,25,53
8481186,2023,Logan O'Connor,COL,R,57,852.17,1177,85,174,25,13,12,7,5,0,0,0,3,3,0,38,60,38,12,29,35,14,34,10,26
8471677,2023,Jack Johnson,COL,D,80,1194.18,1545,76,201,16,3,13,8,5,0,0,0,0,0,0,89,78,12,20,0,0,8,18,7,14
8479398,2023,Samuel Girard,COL,D,59,1143.5,1456,73,189,18,3,15,9,6,1,0,1,0,0,0,99,76,23,32,0,0,5,10,6,12
8477494,2023,Jonathan Drouin,COL,L,79,1436.63,1600,127,249,56,19,37,19,18,19,5,14,0,0,0,33,41,38,30,44,41,14,28,11,20
8476312,2023,Josh Manson,COL,D,76,1351.5,1744,123,296,25,8,17,9,8,0,0,0,1,0,1,109,211,46,43,0,1,31,77,19,50
8479999,2023,Casey Mittelstadt,COL,C,80,1418.37,1654,127,239,57,18,39,19,20,8,3,5,0,0,0,31,26,45,42,529,595,15,32,8,16
8479525,2023,Ross Colton,COL,C,80,1097.53,1531,147,310,40,17,23,14,9,6,3,3,0,0,0,46,141,37,23,423,397,22,51,21,42
8480069,2023,Cale Makar,COL,D,77,1907.27,1966,231,539,90,21,69,28,41,34,7,27,4,1,3,148,37,70,42,0,0,8,16,25,50
8479362,2023,Riley Tufte,COL,L,5,55.6,73,7,11,2,1,1,0,1,0,0,0,0,0,0,2,8,2,1,1,1,1,2,1,2
