playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penalityminutesdrawn,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists
8480019,2021,Isaac Ratcliffe,PHI,L,10,107.47,158,14,22,4,1,3,1,2,8,16,2,1,0,1,5,10,0,0,2,0,2,0,0,0
8475728,2021,Johan Larsson,WSH,L,43,684.13,903,44,88,21,7,14,5,9,25,70,13,13,195,227,13,32,9,24,3,2,1,0,0,0
8476891,2021,Matt Grzelcyk,BOS,D,73,1367.08,1842,118,211,24,4,20,9,11,83,40,21,41,0,0,12,24,4,8,4,0,4,0,0,0
8479325,2021,Charlie McAvoy,BOS,D,78,1923.1,2216,166,295,56,10,46,16,30,130,155,29,65,0,0,30,66,24,54,18,4,14,0,0,0
8481604,2021,Pavel Dorofeyev,VGK,L,2,13,21,1,2,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0
8481122,2021,Simon Benoit,ANA,D,53,746.9,989,45,87,5,1,4,1,3,39,168,7,21,0,0,8,22,3,12,0,0,0,0,0,0
8475848,2021,Brendan Gallagher,MTL,R,56,841.03,1137,142,250,24,7,17,12,5,29,54,17,20,13,22,23,49,27,59,7,5,2,0,0,0
8474066,2021,Thomas Hickey,NYI,D,2,38.95,48,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0
8476989,2021,Petteri Lindbohm,FLA,D,9,126.5,172,9,25,1,0,1,0,1,8,25,4,8,0,0,1,5,2,7,0,0,0,0,0,0
8480113,2021,Alex Iafallo,LAK,L,79,1461.72,1861,215,345,37,17,20,10,10,53,48,46,14,15,17,4,8,9,18,5,2,3,2,1,1
8478498,2021,Jake DeBrusk,BOS,L,77,1157.8,1504,185,278,42,25,17,11,6,25,62,35,26,10,12,5,10,16,32,4,3,1,0,0,0
8478881,2021,Brett Seney,TOR,L,2,14.03,20,1,2,0,0,0,0,0,2,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0
8478434,2021,Keegan Kolesar,VGK,R,77,974.08,1380,94,142,24,7,17,12,5,46,246,33,36,76,112,22,68,21,66,1,1,0,1,1,0
8475455,2021,Brenden Dillon,WPG,D,79,1487.78,1916,85,203,20,3,17,5,12,108,212,16,51,0,0,27,67,12,39,0,0,0,0,0,0
8477335,2021,Kyle Burroughs,VAN,D,42,543.33,758,39,83,5,1,4,1,3,59,122,7,7,0,0,15,39,9,27,0,0,0,0,0,0
8480858,2021,Cameron Hillis,MTL,C,1,10.25,16,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
8474589,2021,Tyler Ennis,OTT,R,57,714.93,909,89,157,24,8,16,11,5,24,70,19,23,20,9,8,16,12,26,4,1,3,0,0,0
8476374,2021,Sean Kuraly,CBJ,C,77,1221.22,1676,121,190,30,14,16,3,13,51,240,35,26,628,642,24,51,14,31,0,0,0,1,0,1
